bitflips:;6643
SDCs:;175
Crashes:;1003
Simultaneous SDCs and Crashes:;7


Fault Modes #flips:
Double bit-flip;1883
Random bit-flip;1462
Single bit-flip;1957
Zero bit-flip;1341
Fault Modes #SDC:
Double bit-flip;57
Random bit-flip;31
Single bit-flip;50
Zero bit-flip;37
Fault Modes #Crashes:
Double bit-flip;290
Random bit-flip;250
Single bit-flip;296
Zero bit-flip;167

Time Frame #flips:
0-5;404
10-15;434
15-20;439
20-25;365
25-30;1135
30-35;1247
35-40;1145
40-49;1024
5-10;450
Time Frame #SDC:
0-5;15
10-15;26
15-20;26
20-25;13
25-30;24
30-35;16
35-40;24
40-49;20
5-10;11
Time Frame #Crashes:
0-5;69
10-15;122
15-20;65
20-25;39
25-30;147
30-35;170
35-40;151
40-49;136
5-10;104

Variables that caused SDCs:
PVF ;#flips ;#SDCs ;Var name ;file ;line number
50.0;2;1;X;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfcsort.c;104
33.33333333333333;3;1;ldinfo;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfcsort.c;116
7.6923076923076925;13;1;ncells;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;285
50.0;2;1;circ_radius;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;321
2.2222222222222223;45;1;verbose;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/clamr_cpuonly.cpp;129
25.0;4;1;jscale;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/partition.cpp;325
7.6923076923076925;13;1;n;msort.c;40
33.33333333333333;3;1;t;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;319
20.0;5;1;flags;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;1194
33.33333333333333;3;1;this;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/partition.cpp;0
33.33333333333333;3;1;circ_radius;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;1361
4.0;25;1;ntop_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;3190
25.0;4;1;Hxplus;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;1395
20.0;5;1;result_num;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;616
50.0;2;1;order;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfc.c;76
50.0;2;1;key;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfc.c;67
11.11111111111111;9;1;y;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;322
20.0;5;1;dx;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;973
33.33333333333333;3;1;c;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfc.c;104
12.5;8;1;U_i;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/state.cpp;187
12.5;8;1;ind;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/kdtree/KDTree.c;629
100.0;1;1;ibase;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/hsfc/hsfcsort.c;106
6.666666666666667;15;1;j_old;/micNfs/gdb-fault-injection/injector/src/clamr/CLAMR/mesh/mesh.cpp;2604
